t,target_x,target_y,target_h_deg,x,y,h_deg
7.988,,,,-0.0,0.0,0.01
8.039,,,,-0.0,0.0,0.01
8.089,,,,-0.0,0.0,0.01
8.14,,,,-0.0,0.0,0.01
8.191,,,,-0.0,0.0,0.01
8.242,,,,-0.0,0.0,0.01
8.292,,,,-0.0,0.0,0.01
8.379,,,,-0.0,0.0,0.01
8.429,,,,-0.0,0.0,0.01
8.48,,,,-0.0,0.0,0.01
8.531,,,,-0.0,0.0,0.01
8.581,,,,-0.0,0.0,0.01
8.632,,,,-0.0,0.0,0.01
8.683,,,,-0.0,0.0,0.01
8.733,,,,-0.0,0.0,0.01
8.784,,,,-0.0,0.0,0.01
8.835,,,,-0.0,0.0,0.01
8.886,,,,-0.0001,0.0001,0.01
8.936,,,,-0.0001,0.0001,0.01
8.987,,,,-0.0001,0.0001,0.01
9.038,,,,-0.0001,0.0001,0.01
9.089,,,,-0.0001,0.0001,0.01
9.14,,,,-0.0001,0.0001,0.01
9.191,,,,-0.0001,0.0001,0.01
9.241,,,,-0.0001,0.0001,0.01
9.292,,,,-0.0001,0.0001,0.01
9.343,,,,-0.0001,0.0001,0.01
9.394,,,,-0.0001,0.0001,0.01
9.445,,,,-0.0001,0.0001,0.01
9.496,,,,-0.0001,0.0001,0.01
9.547,,,,-0.0001,0.0001,0.01
9.597,,,,-0.0001,0.0001,0.02
9.648,,,,-0.0001,0.0001,0.02
9.699,,,,-0.0001,0.0001,0.02
9.752,,,,-0.0001,0.0001,0.02
9.803,,,,-0.0001,0.0001,0.01
9.854,,,,-0.0001,0.0001,0.01
9.904,,,,-0.0001,0.0001,0.01
9.955,,,,-0.0001,0.0001,0.01
10.005,,,,-0.0001,0.0001,0.01
10.056,,,,-0.0001,0.0001,0.01
10.106,,,,-0.0001,0.0001,0.01
10.157,,,,-0.0001,0.0001,0.01
10.208,,,,-0.0001,0.0001,0.02
10.258,,,,-0.0001,0.0001,0.02
10.309,,,,-0.0001,0.0001,0.02
10.359,,,,-0.0001,0.0001,0.02
10.41,,,,-0.0001,0.0001,0.02
10.46,,,,-0.0001,0.0001,0.02
10.511,,,,-0.0001,0.0001,0.02
10.561,,,,-0.0001,0.0001,0.02
10.613,,,,-0.0001,0.0001,0.02
10.664,,,,-0.0001,0.0001,0.02
10.714,,,,-0.0001,0.0001,0.02
10.765,,,,-0.0001,0.0001,0.02
10.816,,,,-0.0001,0.0001,0.03
10.866,,,,-0.0001,0.0001,0.03
10.917,,,,-0.0001,0.0001,0.03
10.967,,,,-0.0001,0.0001,0.03
11.02,,,,-0.0001,0.0001,0.03
11.11,,,,-0.0001,0.0001,0.03
11.16,,,,-0.0001,0.0001,0.03
11.211,,,,-0.0001,0.0001,0.03
11.262,,,,-0.0001,0.0001,0.03
11.312,,,,-0.0001,0.0001,0.03
11.363,,,,-0.0001,0.0001,0.03
11.413,,,,-0.0001,0.0001,0.03
11.464,,,,-0.0001,0.0001,0.03
11.515,,,,-0.0001,0.0001,0.03
11.565,,,,-0.0001,0.0001,0.03
11.616,,,,-0.0001,0.0001,0.04
11.666,,,,-0.0001,0.0001,0.04
11.717,,,,-0.0001,0.0001,0.04
11.767,,,,-0.0001,0.0001,0.04
11.818,,,,-0.0001,0.0001,0.04
11.869,,,,-0.0001,0.0001,0.04
11.92,,,,-0.0001,0.0001,0.04
11.971,,,,-0.0001,0.0001,0.04
12.021,,,,-0.0001,0.0001,0.04
12.071,,,,-0.0001,0.0001,0.04
12.122,,,,-0.0001,0.0001,0.04
12.173,,,,-0.0001,0.0001,0.04
12.224,,,,-0.0001,0.0001,0.04
12.274,,,,-0.0001,0.0001,0.04
12.325,,,,-0.0001,0.0001,0.04
12.376,,,,-0.0002,0.0002,0.04
12.426,,,,-0.0002,0.0002,0.04
12.478,,,,-0.0002,0.0002,0.04
12.528,,,,-0.0002,0.0002,0.04
12.58,,,,-0.0002,0.0002,0.04
12.63,,,,-0.0002,0.0002,0.04
12.681,,,,-0.0002,0.0002,0.04
12.732,,,,-0.0002,0.0002,0.04
12.782,,,,-0.0002,0.0002,0.04
12.833,,,,-0.0002,0.0002,0.04
12.883,,,,-0.0002,0.0002,0.04
12.934,,,,-0.0002,0.0002,0.04
12.985,,,,-0.0002,0.0002,0.04
13.036,,,,-0.0002,0.0002,0.04
13.087,,,,-0.0002,0.0002,0.04
13.137,,,,-0.0002,0.0002,0.04
13.188,,,,-0.0002,0.0002,0.04
13.239,,,,-0.0002,0.0002,0.04
13.29,,,,-0.0002,0.0002,0.04
13.34,,,,-0.0002,0.0002,0.04
13.392,,,,-0.0002,0.0002,0.04
13.442,,,,-0.0002,0.0002,0.04
13.493,,,,-0.0002,0.0002,0.04
13.543,,,,-0.0002,0.0002,0.04
13.594,,,,-0.0002,0.0002,0.05
13.644,,,,-0.0002,0.0002,0.05
13.694,,,,-0.0002,0.0002,0.05
13.745,,,,-0.0002,0.0002,0.05
13.795,,,,-0.0002,0.0002,0.05
13.846,,,,-0.0002,0.0002,0.05
13.897,,,,-0.0002,0.0002,0.06
13.947,,,,-0.0002,0.0002,0.06
13.998,,,,-0.0002,0.0002,0.05
14.049,,,,-0.0002,0.0002,0.05
14.1,,,,-0.0002,0.0002,0.05
14.15,,,,-0.0002,0.0002,0.05
14.201,,,,-0.0002,0.0002,0.05
14.251,,,,-0.0002,0.0002,0.05
14.301,,,,-0.0002,0.0002,0.05
14.352,,,,-0.0002,0.0002,0.05
14.402,,,,-0.0002,0.0002,0.06
14.454,,,,-0.0002,0.0002,0.06
14.504,,,,-0.0002,0.0002,0.06
14.555,,,,-0.0002,0.0002,0.06
14.606,,,,-0.0002,0.0002,0.06
14.656,,,,-0.0002,0.0002,0.06
14.707,,,,-0.0002,0.0002,0.05
14.757,,,,-0.0002,0.0002,0.06
14.807,,,,-0.0002,0.0002,0.05
14.857,,,,-0.0002,0.0002,0.05
14.908,,,,-0.0002,0.0002,0.06
14.959,,,,-0.0002,0.0002,0.06
15.01,,,,-0.0002,0.0002,0.06
15.061,,,,-0.0002,0.0002,0.06
15.111,,,,-0.0002,0.0002,0.05
15.162,,,,-0.0002,0.0002,0.06
15.212,,,,-0.0002,0.0002,0.05
15.263,,,,-0.0002,0.0002,0.05
15.314,,,,-0.0002,0.0002,0.05
15.364,,,,-0.0002,0.0002,0.05
15.415,,,,-0.0002,0.0002,0.05
15.465,,,,-0.0002,0.0002,0.05
15.515,,,,-0.0002,0.0002,0.06
15.566,,,,-0.0002,0.0002,0.06
15.617,,,,-0.0002,0.0002,0.05
15.667,,,,-0.0002,0.0002,0.05
15.717,,,,-0.0002,0.0002,0.05
15.768,,,,-0.0002,0.0002,0.05
15.818,,,,-0.0002,0.0002,0.05
15.868,,,,-0.0002,0.0002,0.05
15.919,,,,-0.0002,0.0002,0.05
15.97,,,,-0.0002,0.0002,0.05
16.021,,,,-0.0002,0.0002,0.05
16.071,,,,-0.0002,0.0002,0.05
16.122,,,,-0.0002,0.0002,0.05
16.174,,,,-0.0002,0.0002,0.05
16.224,,,,-0.0002,0.0002,0.05
16.275,,,,-0.0002,0.0002,0.05
16.327,,,,-0.0002,0.0002,0.05
16.378,,,,-0.0002,0.0002,0.06
16.429,,,,-0.0002,0.0002,0.06
16.479,,,,-0.0002,0.0002,0.06
16.564,,,,-0.0002,0.0002,0.06
16.615,,,,-0.0002,0.0002,0.06
16.665,,,,-0.0002,0.0002,0.06
16.716,,,,-0.0002,0.0002,0.06
16.767,,,,-0.0002,0.0002,0.06
16.818,,,,-0.0002,0.0002,0.06
16.868,,,,-0.0002,0.0002,0.06
16.919,,,,-0.0002,0.0002,0.06
16.969,,,,-0.0002,0.0002,0.06
17.02,,,,-0.0002,0.0002,0.06
17.07,,,,-0.0002,0.0002,0.06
17.122,,,,-0.0002,0.0002,0.06
17.172,,,,-0.0002,0.0002,0.06
17.223,,,,-0.0002,0.0002,0.06
17.273,,,,-0.0002,0.0002,0.06
17.324,,,,-0.0002,0.0002,0.06
17.374,,,,-0.0002,0.0002,0.06
17.425,,,,-0.0002,0.0002,0.06
17.475,,,,-0.0002,0.0002,0.06
17.526,,,,-0.0002,0.0002,0.06
17.576,,,,-0.0002,0.0002,0.06
17.626,,,,-0.0002,0.0002,0.06
17.677,,,,-0.0002,0.0002,0.06
17.727,,,,-0.0002,0.0002,0.06
17.778,,,,-0.0002,0.0002,0.06
17.828,,,,-0.0002,0.0002,0.06
17.879,,,,-0.0002,0.0002,0.06
17.93,,,,-0.0002,0.0002,0.06
17.981,,,,-0.0002,0.0002,0.06
18.031,,,,-0.0002,0.0002,0.06
18.082,,,,-0.0002,0.0002,0.06
18.133,,,,-0.0003,0.0003,0.07
18.183,,,,-0.0003,0.0003,0.07
18.235,,,,-0.0003,0.0003,0.07
18.285,,,,-0.0003,0.0003,0.07
18.336,,,,-0.0003,0.0003,0.07
18.387,,,,-0.0003,0.0003,0.07
18.437,,,,-0.0003,0.0003,0.07
18.488,,,,-0.0003,0.0003,0.07
18.539,,,,-0.0003,0.0003,0.07
18.59,,,,-0.0003,0.0003,0.07
18.64,,,,-0.0003,0.0003,0.07
18.691,,,,-0.0003,0.0003,0.07
18.742,,,,-0.0003,0.0003,0.07
18.793,,,,-0.0003,0.0003,0.07
18.844,,,,-0.0003,0.0003,0.07
18.894,,,,-0.0003,0.0003,0.07
18.945,,,,-0.0003,0.0003,0.07
18.995,,,,-0.0003,0.0003,0.07
19.046,,,,-0.0003,0.0003,0.07
19.097,,,,-0.0003,0.0003,0.07
19.148,,,,-0.0003,0.0003,0.07
19.198,,,,-0.0003,0.0003,0.07
19.28,,,,-0.0003,0.0003,0.07
19.33,,,,-0.0003,0.0003,0.07
19.381,,,,-0.0003,0.0003,0.07
19.431,,,,-0.0003,0.0003,0.07
19.482,,,,-0.0003,0.0003,0.07
19.535,,,,-0.0003,0.0003,0.07
19.586,,,,-0.0003,0.0003,0.07
19.637,,,,-0.0003,0.0003,0.07
19.687,,,,-0.0003,0.0003,0.07
19.738,,,,-0.0003,0.0003,0.07
19.789,,,,-0.0003,0.0003,0.07
19.839,,,,-0.0003,0.0003,0.07
19.89,,,,-0.0003,0.0003,0.07
19.964,,,,-0.0003,0.0003,0.07
20.024,,,,-0.0003,0.0003,0.07
20.084,,,,-0.0003,0.0003,0.07
20.135,,,,-0.0003,0.0003,0.07
20.187,,,,-0.0003,0.0003,0.07
20.238,,,,-0.0003,0.0003,0.07
20.288,,,,-0.0003,0.0003,0.07
20.339,,,,-0.0003,0.0003,0.07
20.389,,,,-0.0003,0.0003,0.07
20.44,,,,-0.0003,0.0003,0.07
20.492,,,,-0.0003,0.0003,0.07
20.544,,,,-0.0003,0.0003,0.07
20.595,,,,-0.0003,0.0003,0.07
20.646,,,,-0.0003,0.0003,0.07
20.697,,,,-0.0003,0.0003,0.07
20.748,,,,-0.0003,0.0003,0.07
20.798,,,,-0.0003,0.0003,0.07
20.849,,,,-0.0003,0.0003,0.07
20.899,,,,-0.0003,0.0003,0.07
20.951,,,,-0.0003,0.0003,0.07
21.001,,,,-0.0003,0.0003,0.07
21.052,,,,-0.0003,0.0003,0.07
21.103,,,,-0.0003,0.0003,0.07
21.154,,,,-0.0003,0.0003,0.07
21.204,,,,-0.0003,0.0003,0.07
21.255,,,,-0.0003,0.0003,0.07
21.305,,,,-0.0003,0.0003,0.07
21.356,,,,-0.0003,0.0003,0.07
21.406,,,,-0.0003,0.0003,0.07
21.457,,,,-0.0003,0.0003,0.07
21.507,,,,-0.0003,0.0003,0.07
21.558,,,,-0.0003,0.0003,0.07
21.61,,,,-0.0003,0.0003,0.07
21.661,,,,-0.0003,0.0003,0.07
21.711,,,,-0.0003,0.0003,0.07
21.762,,,,-0.0003,0.0003,0.07
21.812,,,,-0.0003,0.0003,0.07
21.863,,,,-0.0003,0.0003,0.07
21.914,,,,-0.0003,0.0003,0.07
21.964,,,,-0.0003,0.0003,0.07
22.015,,,,-0.0003,0.0003,0.07
22.066,,,,-0.0003,0.0003,0.07
22.118,,,,-0.0003,0.0003,0.07
22.169,,,,-0.0003,0.0003,0.07
22.219,,,,-0.0003,0.0003,0.07
22.271,,,,-0.0003,0.0003,0.07
22.321,,,,-0.0003,0.0003,0.07
22.372,,,,-0.0003,0.0003,0.07
22.422,,,,-0.0003,0.0003,0.07
22.473,,,,-0.0003,0.0003,0.07
22.524,,,,-0.0003,0.0003,0.07
22.575,,,,-0.0003,0.0003,0.07
22.625,,,,-0.0003,0.0003,0.07
22.676,,,,-0.0003,0.0003,0.07
22.727,,,,-0.0003,0.0003,0.07
22.777,,,,-0.0003,0.0003,0.07
22.828,,,,-0.0003,0.0003,0.07
22.879,,,,-0.0003,0.0003,0.07
22.93,,,,-0.0003,0.0003,0.07
22.98,,,,-0.0003,0.0003,0.07
23.031,,,,-0.0003,0.0003,0.07
23.082,,,,-0.0003,0.0003,0.07
23.132,,,,-0.0003,0.0003,0.07
23.182,,,,-0.0003,0.0003,0.07
23.233,,,,-0.0003,0.0003,0.07
23.286,,,,-0.0003,0.0003,0.07
23.338,,,,-0.0003,0.0003,0.07
23.391,,,,-0.0003,0.0003,0.07
23.445,,,,-0.0003,0.0003,0.07
23.508,,,,-0.0003,0.0003,0.07
23.568,,,,-0.0003,0.0003,0.07
23.628,,,,-0.0003,0.0003,0.07
23.683,,,,-0.0003,0.0003,0.07
23.766,,,,-0.0003,0.0003,0.07
23.826,,,,-0.0003,0.0003,0.07
23.881,,,,-0.0003,0.0003,0.07
23.932,,,,-0.0003,0.0003,0.07
23.989,,,,-0.0003,0.0003,0.07
24.044,,,,-0.0003,0.0003,0.07
24.097,,,,-0.0003,0.0003,0.07
24.158,,,,-0.0003,0.0003,0.07
24.221,,,,-0.0003,0.0003,0.07
24.29,,,,-0.0003,0.0003,0.07
24.346,,,,-0.0003,0.0003,0.07
24.405,,,,-0.0003,0.0003,0.07
24.467,,,,-0.0003,0.0003,0.07
24.524,,,,-0.0003,0.0003,0.07
24.608,,,,-0.0003,0.0003,0.07
24.704,,,,-0.0003,0.0003,0.07
24.797,,,,-0.0003,0.0003,0.07
24.876,,,,-0.0003,0.0003,0.07
24.979,,,,-0.0003,0.0003,0.07
25.049,,,,-0.0003,0.0003,0.07
25.168,,,,-0.0003,0.0003,0.07
25.233,,,,-0.0003,0.0003,0.07
25.311,,,,-0.0003,0.0003,0.07
25.396,,,,-0.0003,0.0003,0.07
25.469,,,,-0.0003,0.0003,0.07
25.523,,,,-0.0003,0.0003,0.07
25.601,,,,-0.0003,0.0003,0.07
25.668,,,,-0.0003,0.0003,0.07
25.731,,,,-0.0003,0.0003,0.07
25.805,,,,-0.0003,0.0003,0.07
25.87,,,,-0.0003,0.0003,0.07
25.968,,,,-0.0003,0.0003,0.07
26.042,,,,-0.0003,0.0003,0.07
26.131,,,,-0.0003,0.0003,0.07
26.208,,,,-0.0003,0.0003,0.07
26.286,,,,-0.0003,0.0003,0.07
26.371,,,,-0.0003,0.0003,0.07
26.483,,,,-0.0003,0.0003,0.07
26.565,,,,-0.0003,0.0003,0.07
26.653,,,,-0.0003,0.0003,0.07
26.729,,,,-0.0003,0.0003,0.07
26.808,,,,-0.0003,0.0003,0.07
26.893,,,,-0.0003,0.0003,0.07
26.977,,,,-0.0003,0.0003,0.07
27.069,,,,-0.0003,0.0003,0.07
27.156,,,,-0.0003,0.0003,0.07
27.237,,,,-0.0003,0.0003,0.07
27.321,,,,-0.0003,0.0003,0.07
27.425,,,,-0.0003,0.0003,0.07
27.515,,,,-0.0003,0.0003,0.07
27.587,,,,-0.0003,0.0003,0.07
27.658,,,,-0.0003,0.0003,0.07
27.737,,,,-0.0003,0.0003,0.07
27.817,,,,-0.0003,0.0003,0.07
27.884,,,,-0.0003,0.0003,0.07
27.949,,,,-0.0003,0.0003,0.07
28.008,,,,-0.0003,0.0003,0.07
28.079,,,,-0.0003,0.0003,0.07
28.133,,,,-0.0003,0.0003,0.07
28.204,,,,-0.0003,0.0003,0.07
28.266,,,,-0.0003,0.0003,0.07
28.324,,,,-0.0003,0.0003,0.07
28.381,,,,-0.0003,0.0003,0.07
28.435,,,,-0.0003,0.0003,0.07
28.496,,,,-0.0003,0.0003,0.07
28.546,,,,-0.0003,0.0003,0.07
28.598,,,,-0.0003,0.0003,0.07
28.65,,,,-0.0003,0.0003,0.07
28.709,,,,-0.0003,0.0003,0.07
28.76,,,,-0.0003,0.0003,0.07
28.829,,,,-0.0003,0.0003,0.07
28.884,,,,-0.0003,0.0003,0.07
28.983,,,,-0.0003,0.0003,0.07
29.057,,,,-0.0003,0.0003,0.07
29.125,,,,-0.0003,0.0003,0.07
29.187,,,,-0.0003,0.0003,0.07
29.242,,,,-0.0003,0.0003,0.07
29.298,,,,-0.0003,0.0003,0.07
29.357,,,,-0.0003,0.0003,0.07
29.415,,,,-0.0003,0.0003,0.07
29.476,,,,-0.0003,0.0003,0.07
29.533,,,,-0.0003,0.0003,0.07
29.587,,,,-0.0003,0.0003,0.07
29.642,,,,-0.0003,0.0003,0.07
29.698,,,,-0.0003,0.0003,0.07
29.749,,,,-0.0003,0.0003,0.07
29.818,,,,-0.0003,0.0003,0.07
29.894,,,,-0.0003,0.0003,0.07
29.97,,,,-0.0003,0.0003,0.07
30.026,,,,-0.0003,0.0003,0.07
30.085,,,,-0.0003,0.0003,0.07
30.14,,,,-0.0003,0.0003,0.07
30.193,,,,-0.0003,0.0003,0.07
30.244,,,,-0.0003,0.0003,0.07
30.295,,,,-0.0003,0.0003,0.07
30.346,,,,-0.0003,0.0003,0.07
30.397,,,,-0.0003,0.0003,0.07
30.447,,,,-0.0003,0.0003,0.07
30.498,,,,-0.0003,0.0003,0.07
30.57,,,,-0.0003,0.0003,0.07
30.631,,,,-0.0003,0.0003,0.07
30.69,,,,-0.0003,0.0003,0.07
30.742,,,,-0.0003,0.0003,0.07
30.801,,,,-0.0003,0.0003,0.07
30.852,,,,-0.0003,0.0003,0.07
30.908,,,,-0.0003,0.0003,0.07
30.965,,,,-0.0003,0.0003,0.07
31.017,,,,-0.0003,0.0003,0.07
31.07,,,,-0.0003,0.0003,0.07
31.12,,,,-0.0003,0.0003,0.07
31.171,,,,-0.0003,0.0003,0.07
31.221,,,,-0.0003,0.0003,0.07
31.272,,,,-0.0003,0.0003,0.07
31.323,,,,-0.0003,0.0003,0.07
31.374,,,,-0.0003,0.0003,0.07
31.424,,,,-0.0003,0.0003,0.07
31.475,,,,-0.0003,0.0003,0.07
31.529,,,,-0.0003,0.0003,0.07
31.58,,,,-0.0003,0.0003,0.07
31.631,,,,-0.0003,0.0003,0.07
31.682,,,,-0.0003,0.0003,0.07
31.733,,,,-0.0003,0.0003,0.07
31.784,,,,-0.0003,0.0003,0.07
31.836,,,,-0.0003,0.0003,0.07
31.888,,,,-0.0003,0.0003,0.07
31.942,,,,-0.0003,0.0003,0.07
32.009,,,,-0.0003,0.0003,0.07
32.063,,,,-0.0003,0.0003,0.07
32.119,,,,-0.0003,0.0003,0.07
32.173,,,,-0.0003,0.0003,0.07
32.226,,,,-0.0003,0.0003,0.07
32.276,,,,-0.0003,0.0003,0.07
32.327,,,,-0.0003,0.0003,0.07
32.379,,,,-0.0003,0.0003,0.07
32.429,,,,-0.0003,0.0003,0.07
32.48,,,,-0.0003,0.0003,0.07
32.531,,,,-0.0003,0.0003,0.07
32.582,,,,-0.0003,0.0003,0.07
32.633,,,,-0.0003,0.0003,0.07
32.683,,,,-0.0003,0.0003,0.07
32.734,,,,-0.0003,0.0003,0.07
32.785,,,,-0.0003,0.0003,0.07
32.836,,,,-0.0003,0.0003,0.07
32.886,,,,-0.0003,0.0003,0.07
32.937,,,,-0.0003,0.0003,0.07
32.988,,,,-0.0003,0.0003,0.07
33.039,,,,-0.0003,0.0003,0.07
33.089,,,,-0.0003,0.0003,0.07
33.14,,,,-0.0003,0.0003,0.07
33.193,,,,-0.0003,0.0003,0.07
33.244,,,,-0.0003,0.0003,0.07
33.295,,,,-0.0003,0.0003,0.07
33.345,,,,-0.0003,0.0003,0.07
33.396,,,,-0.0003,0.0003,0.07
33.447,,,,-0.0003,0.0003,0.07
33.497,,,,-0.0003,0.0003,0.07
33.548,,,,-0.0003,0.0003,0.07
33.599,,,,-0.0003,0.0003,0.07
33.649,,,,-0.0003,0.0003,0.07
33.7,,,,-0.0003,0.0003,0.07
33.75,,,,-0.0003,0.0003,0.07
33.801,,,,-0.0003,0.0003,0.07
33.851,,,,-0.0003,0.0003,0.07
33.902,,,,-0.0003,0.0003,0.07
33.953,,,,-0.0003,0.0003,0.07
34.003,,,,-0.0003,0.0003,0.07
34.054,,,,-0.0003,0.0003,0.07
34.105,,,,-0.0003,0.0003,0.07
